parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT1572,"PT1572",0,3985,-3985,-3985,4
PT1583,"PT1583",150,3130,-2980,-2980,4
PT1603,"PT1603",2000,5003,-3003,-3003,8
PT1619,"PT1619",0,3745,-3745,-3745,5
PT1631,"PT1631",180,180,0,0,2
PT1648,"PT1648",65,65,0,0,2
PT1673,"PT1673",0,170,-170,-170,1
PT1674,"PT1674",0,54817,-54817,-54817,18
PT1679,"PT1679",0,1714,-1714,-1714,2
PT1680,"OPP_400-2",985,256,729,729,2
PT1695,"PT1695",0,1143,-1143,-1143,1
PT1709,"PT1709",810,1048,-238,-238,4
PT1711,"PT1711",796,796,0,0,4
PT1718,"PT1718",5,3252,-3247,-3223,9
PT1719,"PT1719",0,2340,-2340,-2340,4
PT1729,"펠트스트링파우치(커스텀인쇄)_그레이_200-1",1,0,1,1,1
PT1758,"PT1758",198,198,0,0,2
PT1779,"골프공(타이틀리스트프로V1)",0,612,-612,-612,2
PT1780,"PT1780",0,500,-500,-500,2
PT1784,"PT1784",1269,1125,144,144,3
PT1785,"PT1785",296,1230,-934,-934,4
PT1787,"PT1787",0,1081,-1081,-42,1
PT1800,"PT1800",0,831,-831,-831,4
PT1802,"PT1802",4104,4775,-671,-671,8
PT1803,"PT1803",0,1366,-1366,-1366,3
PT2080,"트라이탄빨대_투명",0,238,-238,-238,1
PT2093,"PT2093",1016,875,141,141,13
PT2095,"PT2095",801,657,144,144,9
PT2105,"PT2105",174,174,0,0,2
PT2106,"단품박스(스탠다드)_웜그레이_000-27",0,553,-553,-553,1
PT2117,"PT2117",0,19201,-19201,-19201,5
PT2118,"PT2118",0,7487,-7487,-7487,4
PT2119,"PT2119",410,1770,-1360,-1360,5
PT2120,"PT2120",1650,1850,-200,-200,6
PT2124,"PT2124",1426,1113,313,313,6
PT2125,"PT2125",5000,9568,-4568,-4568,6
PT2131,"골지단품박스(스탠다드)_화이트_100-6",0,2402,-2402,-2402,1
PT2133,"지지대(전용)_화이트_000-1",0,6,-6,-6,1
PT2169,"PT2169",0,1147,-1147,-1147,1
PT2182,"리프레쉬고체치약(페퍼민트.50정)",0,101,-101,-101,1
PT2183,"단품박스(스탠다드)_웜그레이_000_28",0,1191,-1191,-1191,1
PT2228,"PT2228",1000,222,778,778,2
PT2231,"PT2231",1050,222,828,828,2
PT2234,"PT2234",0,2262,-2262,-2262,4
PT2242,"PT2242",16,812,-796,-796,4
PT2248,"PT2248",1181,192,989,989,5
PT2250,"PT2250",1225,200,1025,1025,3
PT2267,"주의사항표기서(전용)(200g)",254,0,254,254,1
PT2293,"PT2293",94,625,-531,-531,2
PT2300,"PT2300",0,1431,-1431,-1431,2
PT2330,"PT2330",250,611,-361,-361,9
PT2331,"PT2331",165,497,-332,-332,9
PT2375,"PT2375",0,5812,-5812,-5812,4
