parts_code,parts_name,in_qty,out_qty,net_change,closing_balance,txn_count
PT4732,"PT4732",500,908,-408,-408,4
PT4733,"PT4733",34,4862,-4828,-4828,40
PT4734,"PT4734",4389,1983,2406,2457,33
PT4737,"PT4737",1230,381,849,849,5
PT4750,"PT4750",0,420,-420,-420,2
PT4753,"PT4753",21,0,21,21,1
PT4754,"단품박스(스탠다드)_화이트",0,3864,-3864,-3864,1
PT4756,"PT4756",1000,958,42,42,2
PT4757,"PT4757",0,614,-614,-614,1
PT4758,"PT4758",200,0,200,200,1
PT4759,"PT4759",500,0,500,500,1
PT4760,"골지G형박스(S)_그레이",0,53,-53,-53,1
PT4761,"PT4761",4,16,-12,-12,2
PT4762,"PT4762",1224,2253,-1029,-819,14
PT4764,"PT4764",0,126,-126,-126,1
PT4768,"PT4768",0,578,-578,-578,3
PT4769,"PT4769",261,881,-620,-620,6
PT4770,"단품박스(스탠다드)_화이트",0,101,-101,-101,1
PT4772,"PT4772",3,228,-225,-225,4
PT4791,"PT4791",500,908,-408,-408,4
PT4792,"PT4792",0,1302,-1302,-1302,3
PT4793,"PT4793",261,261,0,0,4
PT4794,"PT4794",0,410,-410,-410,3
PT4813,"PT4813",1,950,-949,-949,4
PT4816,"PT4816",3,0,3,3,3
PT4830,"솔리드레디백_블랙",504,0,504,504,1
PT4834,"PT4834",5347,347,5000,5000,5
PT4835,"PT4835",5,571,-566,-566,8
PT4842,"커스텀플레이트_블랙",700,0,700,700,1
PT4843,"골지단품박스(전용)(핸들)",700,0,700,700,1
PT4850,"PT4850",843,843,0,0,6
PT4851,"PT4851",396,396,0,0,2
PT4852,"PT4852",378,378,0,0,2
PT4854,"PT4854",0,200,-200,-200,1
PT4860,"PT4860",763,557,206,206,8
PT4864,"PT4864",1,555,-554,-554,4
PT4875,"PT4875",888,546,342,342,12
PT4880,"PT4880",0,782,-782,-782,4
PT4886,"PT4886",150,250,-100,-50,4
PT4887,"PT4887",80,260,-180,-180,5
PT4888,"PT4888",100,312,-212,-212,4
PT4890,"PT4890",0,212,-212,-212,2
PT4902,"PT4902",0,1,-1,-1,1
PT4904,"PT4904",0,1,-1,-1,1
PT4911,"PT4911",90,0,90,90,1
PT4913,"PT4913",160,160,0,0,2
PT4915,"PT4915",123,123,0,0,2
PT4916,"PT4916",1,50,-49,-49,2
PT4917,"PT4917",80,0,80,78,12
PT4918,"PT4918",200,200,0,0,8
PT4919,"PT4919",4,0,4,4,2
PT4925,"PT4925",0,120,-120,-120,1
PT4926,"PT4926",212,212,0,0,8
PT4951,"PT4951",565,565,0,0,6
PT4952,"PT4952",2634,3784,-1150,-1150,9
PT4953,"PT4953",910,1130,-220,-220,8
PT4954,"PT4954",0,50,-50,-50,1
PT4957,"PT4957",0,212,-212,-212,2
PT4964,"PT4964",115,0,115,115,1
PT4966,"PT4966",0,2466,-2466,-2466,6
PT4967,"PT4967",20,0,20,20,6
PT4968,"PT4968",204,0,204,204,2
PT4970,"PT4970",6,100,-94,-94,5
PT4986,"PT4986",0,150,-150,-150,1
PT4988,"PT4988",178,178,0,0,2
PT4989,"PT4989",184,184,0,0,2
PT5011,"PT5011",1,150,-149,-149,2
PT5013,"PT5013",151,151,0,0,2
PT5037,"PT5037",0,251,-251,-251,1
PT5078,"PT5078",522,282,240,240,5
PT5086,"PT5086",4,0,4,4,3
PT5095,"PT5095",72,72,0,0,2
PT5096,"PT5096",52,52,0,0,2
PT5102,"PT5102",30,30,0,0,2
PT5106,"PT5106",2076,2076,0,0,14
PT5124,"PT5124",0,1226,-1226,-1226,8
PT5125,"PT5125",1741,1691,50,50,19
PT5127,"PT5127",70,70,0,0,2
PT5136,"PT5136",1050,849,201,201,9
PT5138,"PT5138",1395,340,1055,1055,11
PT5140,"PT5140",1,670,-669,-669,6
PT5141,"PT5141",0,30,-30,-30,1
PT5143,"PT5143",0,50,-50,-50,1
PT5145,"PT5145",50,50,0,0,2
PT5149,"PT5149",467,410,57,57,6
PT5152,"PT5152",72,0,72,72,1
PT5153,"PT5153",7,400,-393,-393,8
PT5154,"PT5154",419,202,217,217,8
PT5157,"PT5157",510,510,0,0,2
PT5182,"PT5182",5,0,5,5,3
PT5184,"PT5184",5,0,5,5,3
PT5203,"PT5203",330,330,0,0,2
PT5211,"PT5211",505,0,505,505,1
PT5227,"PT5227",1047,1047,0,0,2
PT5231,"PT5231",0,300,-300,-300,1
PT5232,"PT5232",1470,1013,457,457,5
PT5259,"PT5259",408,408,0,0,4
PT5271,"PT5271",516,516,0,0,4
PT5276,"PT5276",0,612,-612,-612,3
PT5289,"덮개박스(스탠다드)_블랙",1018,30,988,988,2
PT5361,"PT5361",520,0,520,520,1
